id,select_type,table,type,possible_keys,key,key_len,ref,rows,Extra
1,PRIMARY,<derived2>,ALL,NULL,NULL,NULL,NULL,2,Using temporary; Using filesort
1,PRIMARY,r,ALL,PRIMARY,index_date,thekey,job_id_index,NULL,NULL,NULL,23618400,Using where; Using join buffer (flat, BNL join)
1,PRIMARY,j,ref,run_id,obj_id,run_id,4,xalt2.r.run_id,8,
1,PRIMARY,o,eq_ref,PRIMARY,PRIMARY,4,xalt2.j.obj_id,1,Using where
2,DERIVED,NULL,NULL,NULL,NULL,NULL,NULL,NULL,No tables used
3,UNION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,No tables used
4,UNION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,No tables used
5,UNION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,No tables used
6,UNION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,No tables used
NULL,UNION RESULT,<union2,3,4,5,6>,ALL,NULL,NULL,NULL,NULL,NULL,
